77	184	216	106	47	143	220	194
117	306	330	167	89	228	355	355
121	304	334	171	80	217	380	343
125	309	316	175	78	239	366	337
119	311	332	166	84	227	345	328
125	302	323	159	79	219	355	342
119	309	325	160	80	234	352	322
127	303	354	170	81	221	380	342
122	308	331	183	78	229	384	353
123	303	331	170	88	236	368	338
116	311	333	172	77	228	338	322
123	301	307	140	80	225	333	323
118	296	295	154	82	218	338	304
122	290	312	161	77	210	334	309
112	287	293	145	74	215	323	298
118	286	293	142	77	210	324	302
120	297	291	150	77	201	315	277
115	282	284	134	68	203	309	268
113	275	274	132	78	191	302	274
122	261	275	135	72	196	282	261
106	273	261	137	67	183	275	251
112	266	259	126	72	198	281	255
113	257	263	132	71	195	292	245
108	250	250	124	73	192	259	244
104	263	264	122	73	197	278	249
110	267	263	124	66	195	279	245
111	274	259	118	75	211	287	252
116	261	267	131	68	193	277	247
113	262	265	127	72	193	282	258
115	269	255	123	72	192	282	256
114	261	260	124	71	205	297	251
116	248	249	123	65	195	275	255
104	258	257	124	70	186	280	252
107	262	258	128	67	194	273	253
114	260	263	125	72	187	275	260
115	267	285	122	73	201	268	262
105	267	269	124	75	197	277	241
106	271	263	138	76	195	264	264
110	267	275	135	75	198	285	241
113	268	279	140	71	205	278	251
120	269	278	135	79	215	290	254
111	271	281	138	69	194	288	267
107	296	296	149	84	198	295	270
107	269	282	154	80	208	295	259
111	265	285	153	83	206	304	287
96	280	272	141	69	202	311	278
117	279	292	152	71	213	306	260
114	297	291	146	70	197	311	287
122	285	299	161	77	216	316	295
101	272	303	153	75	212	334	293
113	284	321	162	76	220	321	298
111	294	298	149	73	216	322	316
69	182	177	100	43	128	199	190
