71	193	224	107	55	190	239	268
125	294	341	187	76	209	340	318
106	288	327	175	69	230	326	305
102	318	290	158	78	194	325	264
111	293	336	174	68	242	308	315
114	285	296	146	78	201	298	308
96	282	338	175	83	226	322	301
109	305	330	153	70	203	322	282
109	293	309	160	78	222	308	299
101	302	318	158	88	245	308	305
115	265	294	141	74	208	319	312
111	309	363	172	68	210	345	283
124	349	383	173	81	242	352	331
140	414	434	228	79	292	413	377
149	442	484	234	90	284	456	425
154	410	477	226	79	265	481	425
125	378	410	195	54	294	427	384
137	379	419	205	79	230	435	348
132	370	409	200	50	260	400	355
125	321	344	180	76	230	377	324
124	333	314	184	82	221	327	317
102	274	280	142	61	190	288	283
104	245	294	139	72	197	287	257
18	93	85	27	12	54	95	70
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
